regime,arm,gain,lo,hi,labels
portscan,ddm_none,6.809,3.813,9.206,800.0
portscan,ddm_lp32,8.057,6.266,9.849,845.0
portscan,adwin_none,0.0,0.0,0.0,800.0
portscan,adwin_lp32,0.0,0.0,0.0,800.0
portscan,ensemble_none,8.547,6.404,10.623,0.0
portscan,ensemble_lp32,8.593,6.55,10.477,124.0
portscan,sliding_window_none,8.041,5.754,10.102,0.0
portscan,sliding_window_lp32,8.77,6.855,10.494,123.0
unsw_recon,ddm_none,0.081,-0.283,0.431,800.0
unsw_recon,ddm_lp32,0.294,-0.014,0.591,837.0
unsw_recon,adwin_none,0.0,0.0,0.0,800.0
unsw_recon,adwin_lp32,0.0,0.0,0.0,800.0
unsw_recon,ensemble_none,-0.103,-0.342,0.122,0.0
unsw_recon,ensemble_lp32,0.08,-0.117,0.266,98.0
unsw_recon,sliding_window_none,0.96,0.679,1.241,0.0
unsw_recon,sliding_window_lp32,1.174,0.925,1.413,100.0
ton_scanning,ddm_none,-2.588,-5.896,-0.336,800.0
ton_scanning,ddm_lp32,0.19,0.023,0.382,829.0
ton_scanning,adwin_none,0.0,0.0,0.0,800.0
ton_scanning,adwin_lp32,0.0,0.0,0.0,800.0
ton_scanning,ensemble_none,0.344,0.082,0.592,0.0
ton_scanning,ensemble_lp32,0.367,0.229,0.515,106.0
ton_scanning,sliding_window_none,-2.437,-4.234,-0.906,0.0
ton_scanning,sliding_window_lp32,0.781,0.457,1.099,109.0
