detector,regime,arm,n,gain_pts,ci_lo,ci_hi
ks,portscan,none,30,8.252,5.834,10.381
ks,portscan,lp32,30,9.12,7.236,10.975
ks,portscan,holdout32,30,9.082,7.123,10.801
ks,portscan,lcb64,30,8.51,6.685,10.244
ks,portscan,unsup,30,6.282,4.191,8.232
qk,portscan,none,30,7.87,5.486,9.932
qk,portscan,lp32,30,9.319,7.329,11.139
ks,unsw_recon,none,30,1.208,0.956,1.451
ks,unsw_recon,lp32,30,1.352,1.169,1.539
ks,unsw_recon,holdout32,30,0.899,0.701,1.092
ks,unsw_recon,lcb64,30,1.237,1.026,1.434
ks,unsw_recon,unsup,30,0.197,0.064,0.366
qk,unsw_recon,none,30,1.252,1.052,1.46
qk,unsw_recon,lp32,30,1.324,1.12,1.521
ks,ton_scanning,none,30,-1.638,-2.721,-0.637
ks,ton_scanning,lp32,30,0.788,0.53,1.072
ks,ton_scanning,holdout32,30,-0.77,-0.979,-0.528
ks,ton_scanning,lcb64,30,0.34,0.161,0.526
ks,ton_scanning,unsup,30,-2.8,-4.357,-1.424
qk,ton_scanning,none,30,-2.908,-5.49,-0.94
qk,ton_scanning,lp32,30,0.719,0.443,0.988
