scenario,contrast,effect_pp,ci95_lo,ci95_hi,note
ps_zero,ps_zero: naive-512 vs never,-1.7029,-2.0451,-1.362,"descriptive, outside the frozen families, uncorrected"
ps_zero,ps_zero: point-512 vs naive-512,0.9721,0.6677,1.3055,"descriptive, outside the frozen families, uncorrected"
ps_zero,ps_zero: strict-512 vs naive-512,1.674,1.3604,1.9992,"descriptive, outside the frozen families, uncorrected"
unsw_zero,unsw_zero: naive-512 vs never,-0.6536,-0.7664,-0.5477,"descriptive, outside the frozen families, uncorrected"
unsw_zero,unsw_zero: point-512 vs naive-512,0.1885,0.0969,0.2956,"descriptive, outside the frozen families, uncorrected"
unsw_zero,unsw_zero: strict-512 vs naive-512,0.4641,0.3508,0.5763,"descriptive, outside the frozen families, uncorrected"
ton_zero,ton_zero: naive-512 vs never,-0.2372,-0.393,-0.0997,"descriptive, outside the frozen families, uncorrected"
ton_zero,ton_zero: point-512 vs naive-512,0.1167,0.0396,0.2258,"descriptive, outside the frozen families, uncorrected"
ton_zero,ton_zero: strict-512 vs naive-512,0.238,0.1208,0.3766,"descriptive, outside the frozen families, uncorrected"
