family,family_size,contrast,effect_pp,ci95_lo,ci95_hi,p_raw,p_holm,significant_holm,correction
F1 size-matched damage,3,ps_zero: naive-2000 vs never,0.1854,-0.1513,0.5547,0.3021469785302147,0.9064409355906442,False,Holm FWER
F1 size-matched damage,3,unsw_zero: naive-2000 vs never,-0.0206,-0.1042,0.0609,0.6244737552624474,1.0,False,Holm FWER
F1 size-matched damage,3,ton_zero: naive-2000 vs never,-0.0094,-0.0544,0.0367,0.6898131018689813,1.0,False,Holm FWER
F2 candidate-size effect,3,ps_zero: naive-2000 vs naive-512,1.8883,1.5388,2.226,9.99990000099999e-06,2.999970000299997e-05,True,Holm FWER
F2 candidate-size effect,3,unsw_zero: naive-2000 vs naive-512,0.6331,0.5336,0.7326,9.99990000099999e-06,2.999970000299997e-05,True,Holm FWER
F2 candidate-size effect,3,ton_zero: naive-2000 vs naive-512,0.2279,0.1013,0.3755,0.0023499765002349977,0.0023499765002349977,True,Holm FWER
F3 gate value at size 2000,6,ps_zero: point-2000 vs naive-2000,0.0547,-0.0008,0.1188,0.07258927410725893,0.4355356446435536,False,Holm FWER
F3 gate value at size 2000,6,ps_zero: strict-2000 vs naive-2000,0.1313,-0.0706,0.3443,0.21365786342136578,0.44141558584414153,False,Holm FWER
F3 gate value at size 2000,6,unsw_zero: point-2000 vs naive-2000,0.0073,-0.0193,0.0359,0.6111638883611163,0.6111638883611163,False,Holm FWER
F3 gate value at size 2000,6,unsw_zero: strict-2000 vs naive-2000,0.0578,-0.0065,0.1245,0.08416915830841691,0.4355356446435536,False,Holm FWER
F3 gate value at size 2000,6,ton_zero: point-2000 vs naive-2000,0.0164,0.0005,0.0445,0.10311896881031189,0.4355356446435536,False,Holm FWER
F3 gate value at size 2000,6,ton_zero: strict-2000 vs naive-2000,0.0339,-0.0104,0.0812,0.14713852861471385,0.44141558584414153,False,Holm FWER
F4 gate x size interaction (secondary),6,ps_zero: (point-naive)@2000 - (point-naive)@512,-0.9174,-1.2508,-0.6094,9.99990000099999e-06,5.999940000599994e-05,True,Holm FWER
F4 gate x size interaction (secondary),6,ps_zero: (strict-naive)@2000 - (strict-naive)@512,-1.5427,-1.8862,-1.2013,9.99990000099999e-06,5.999940000599994e-05,True,Holm FWER
F4 gate x size interaction (secondary),6,unsw_zero: (point-naive)@2000 - (point-naive)@512,-0.1813,-0.2872,-0.0888,0.0008299917000829991,0.0024899751002489976,True,Holm FWER
F4 gate x size interaction (secondary),6,unsw_zero: (strict-naive)@2000 - (strict-naive)@512,-0.4062,-0.525,-0.2859,9.99990000099999e-06,5.999940000599994e-05,True,Holm FWER
F4 gate x size interaction (secondary),6,ton_zero: (point-naive)@2000 - (point-naive)@512,-0.1003,-0.212,-0.0193,0.04005959940400596,0.04005959940400596,True,Holm FWER
F4 gate x size interaction (secondary),6,ton_zero: (strict-naive)@2000 - (strict-naive)@512,-0.2042,-0.3422,-0.0878,0.002749972500274997,0.005499945000549994,True,Holm FWER
