scenario,policy,transformer_policy,commits_total,commits_logged,harmful_h1,censored_h1,harmful_rate_h1,harmful_h3,censored_h3,harmful_rate_h3,harmful_h5,censored_h5,harmful_rate_h5,harmful_h10,censored_h10,harmful_rate_h10,caveat
ps_full,naive,frozen_initial_transformer,102,102,32,0,0.3137,33,1,0.3267,36,2,0.36,33,3,0.3333,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,point,frozen_initial_transformer,91,91,26,0,0.2857,26,0,0.2857,28,1,0.3111,27,4,0.3103,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,strict,frozen_initial_transformer,61,61,9,0,0.1475,10,1,0.1667,11,2,0.1864,11,4,0.193,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,naive,own_transformer_per_model,102,102,38,0,0.3725,42,1,0.4158,37,2,0.37,33,3,0.3333,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,point,own_transformer_per_model,79,79,19,0,0.2405,23,0,0.2911,20,1,0.2564,18,1,0.2308,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,strict,own_transformer_per_model,62,62,13,0,0.2097,13,0,0.2097,12,2,0.2,10,3,0.1695,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,naive,frozen_initial_transformer,84,84,19,0,0.2262,26,1,0.3133,24,1,0.2892,27,2,0.3293,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,point,frozen_initial_transformer,76,76,17,0,0.2237,20,1,0.2667,18,1,0.24,21,3,0.2877,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,strict,frozen_initial_transformer,57,57,9,0,0.1579,8,1,0.1429,7,1,0.125,7,3,0.1296,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,naive,own_transformer_per_model,84,84,19,0,0.2262,23,1,0.2771,21,1,0.253,20,2,0.2439,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,point,own_transformer_per_model,69,69,15,0,0.2174,15,1,0.2206,14,1,0.2059,13,2,0.194,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,strict,own_transformer_per_model,58,58,6,0,0.1034,6,2,0.1071,5,2,0.0893,5,4,0.0926,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,naive,frozen_initial_transformer,81,81,42,0,0.5185,41,0,0.5062,40,0,0.4938,41,2,0.519,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,point,frozen_initial_transformer,60,60,20,1,0.339,21,3,0.3684,19,3,0.3333,17,6,0.3148,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,strict,frozen_initial_transformer,31,31,8,0,0.2581,10,0,0.3226,9,0,0.2903,7,1,0.2333,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,naive,own_transformer_per_model,81,81,27,0,0.3333,29,0,0.358,34,0,0.4198,30,2,0.3797,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,point,own_transformer_per_model,66,66,17,0,0.2576,14,0,0.2121,17,0,0.2576,14,2,0.2188,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,strict,own_transformer_per_model,42,42,6,0,0.1429,5,0,0.119,5,1,0.122,4,4,0.1053,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,naive,frozen_initial_transformer,104,104,55,0,0.5288,60,2,0.5882,61,4,0.61,58,11,0.6237,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,point,frozen_initial_transformer,56,56,28,0,0.5,32,1,0.5818,36,1,0.6545,33,7,0.6735,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,strict,frozen_initial_transformer,4,4,1,0,0.25,3,0,0.75,4,0,1.0,4,0,1.0,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,naive,own_transformer_per_model,104,104,59,0,0.5673,63,2,0.6176,65,4,0.65,59,11,0.6344,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,point,own_transformer_per_model,69,69,38,0,0.5507,39,2,0.5821,40,4,0.6154,34,11,0.5862,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,strict,own_transformer_per_model,14,14,6,0,0.4286,9,0,0.6429,8,0,0.5714,8,0,0.5714,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,naive,frozen_initial_transformer,104,104,43,0,0.4135,49,2,0.4804,53,4,0.53,57,11,0.6129,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,point,frozen_initial_transformer,63,63,31,0,0.4921,33,2,0.541,35,3,0.5833,37,8,0.6727,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,strict,frozen_initial_transformer,19,19,13,0,0.6842,14,0,0.7368,15,1,0.8333,15,2,0.8824,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,naive,own_transformer_per_model,104,104,56,0,0.5385,54,2,0.5294,61,4,0.61,57,11,0.6129,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,point,own_transformer_per_model,64,64,37,0,0.5781,35,2,0.5645,38,4,0.6333,38,8,0.6786,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,strict,own_transformer_per_model,20,20,10,0,0.5,11,0,0.55,13,1,0.6842,13,2,0.7222,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,naive,frozen_initial_transformer,104,104,43,0,0.4135,50,2,0.4902,51,4,0.51,52,11,0.5591,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,point,frozen_initial_transformer,52,52,14,0,0.2692,21,2,0.42,23,3,0.4694,25,7,0.5556,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,strict,frozen_initial_transformer,4,4,2,0,0.5,2,0,0.5,2,0,0.5,2,0,0.5,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,naive,own_transformer_per_model,104,104,23,0,0.2212,43,2,0.4216,46,4,0.46,50,11,0.5376,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,point,own_transformer_per_model,83,83,18,0,0.2169,33,2,0.4074,35,4,0.443,38,9,0.5135,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,strict,own_transformer_per_model,5,5,2,0,0.4,2,0,0.4,3,0,0.6,3,0,0.6,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
